variable_id,variable,inspection_grade,ablation_screen_category,split,dose,primary_dose,intervention_kind,target_feature,intervention_feature,feature_high_side,steering_side,train_target_activation_gap,steering_coefficient,baseline_downstream_score,steered_downstream_score,mean_attenuation,attenuation_fraction,attenuation_ci_low,attenuation_ci_high,attenuation_bootstrap_p,mean_final_repr_cosine_to_baseline
2,basic_constituent_order,C,positive_control_advantage,test,2.0,False,target,932,932,changed,basis,0.016185056505492,0.032370113010984,0.17077083885669708,0.1662525236606598,0.004518290460109711,0.02645820849952754,0.0033923831135034563,0.005590336799621582,0.0009995002498750624,0.9999982071510124
2,basic_constituent_order,C,positive_control_advantage,test,2.0,False,matched_control,932,1887,changed,basis,0.016185056505492,0.032370113010984,0.17077083885669708,0.16725580394268036,0.0035149987041950227,0.020583131919523132,0.0024441471174359323,0.004537572875618934,0.0009995002498750624,0.9999978340516378
2,basic_constituent_order,C,positive_control_advantage,test,2.0,False,matched_control,932,1302,changed,basis,0.016185056505492,0.032370113010984,0.17077083885669708,0.16943441331386566,0.001336383819580078,0.007825597324034398,0.00020294349640607835,0.0025253731682896587,0.020989505247376312,0.9999979367558324
2,basic_constituent_order,C,positive_control_advantage,test,2.0,False,matched_control,932,7136,changed,basis,0.016185056505492,0.032370113010984,0.17077083885669708,0.1693824976682663,0.001388322412967682,0.008129739376245011,0.00023545532673597338,0.0025577554926276194,0.021989005497251374,0.9999980677421186
3,nominal_modifier_order,C,positive_control_advantage,val,0.5,False,target,4426,4426,basis,changed,0.014806400751694999,0.007403200375847499,0.02239079400897026,0.021387014538049698,0.0010037770494818687,0.044829899693585355,-0.0008952874289825559,0.0030573928561061585,0.30684657671164417,0.999998610293902
3,nominal_modifier_order,C,positive_control_advantage,val,0.5,False,matched_control,4426,8685,basis,changed,0.014806400751694999,0.007403200375847499,0.02239079400897026,0.01952778734266758,0.002863005995750427,0.12786531797860504,0.0006886486113071443,0.005096592942252754,0.005997001499250375,0.9999985958079921
3,nominal_modifier_order,C,positive_control_advantage,val,0.5,False,matched_control,4426,1385,basis,changed,0.014806400751694999,0.007403200375847499,0.02239079400897026,0.019290531054139137,0.0031002575159072877,0.1384612584379658,0.0007803747318685055,0.005311662688851356,0.005997001499250375,0.9999985633526933
3,nominal_modifier_order,C,positive_control_advantage,val,0.5,False,matched_control,4426,12995,basis,changed,0.014806400751694999,0.007403200375847499,0.02239079400897026,0.019578292965888977,0.002812497429549694,0.12560954419137366,0.0011084393355995416,0.004583306663669645,0.004997501249375313,0.9999986253795072
3,nominal_modifier_order,C,positive_control_advantage,val,1.0,True,target,4426,4426,basis,changed,0.014806400751694999,0.014806400751694999,0.02239079400897026,0.021869592368602753,0.0005211998522281646,0.02327741713935469,-0.001669191863387823,0.00266838190332055,0.6596701649175413,0.999998528744267
3,nominal_modifier_order,C,positive_control_advantage,val,1.0,True,matched_control,4426,8685,basis,changed,0.014806400751694999,0.014806400751694999,0.02239079400897026,0.020057907328009605,0.002332884818315506,0.10418946364210663,0.000376553038135171,0.004324771255254741,0.0239880059970015,0.9999985632174204
3,nominal_modifier_order,C,positive_control_advantage,val,1.0,True,matched_control,4426,1385,basis,changed,0.014806400751694999,0.014806400751694999,0.02239079400897026,0.020727500319480896,0.001663288101553917,0.074284462662984,-0.0005272896736860274,0.0037558458866551476,0.12893553223388307,0.9999984703200313
3,nominal_modifier_order,C,positive_control_advantage,val,1.0,True,matched_control,4426,12995,basis,changed,0.014806400751694999,0.014806400751694999,0.02239079400897026,0.017625631764531136,0.004765157550573349,0.2128177119875391,0.0034771336372941735,0.006134588444605469,0.0009995002498750624,0.9999985437814273
3,nominal_modifier_order,C,positive_control_advantage,val,2.0,False,target,4426,4426,basis,changed,0.014806400751694999,0.029612801503389997,0.02239079400897026,0.019663603976368904,0.0027271862141788005,0.12179944190841235,0.00030652896128594877,0.005087115055415776,0.028985507246376812,0.9999980856911194
3,nominal_modifier_order,C,positive_control_advantage,val,2.0,False,matched_control,4426,8685,basis,changed,0.014806400751694999,0.029612801503389997,0.02239079400897026,0.02349216863512993,-0.0011013788357377052,-0.0491889137694924,-0.0034114179220050573,0.0012205917965620705,0.36081959020489757,0.9999981392420687
3,nominal_modifier_order,C,positive_control_advantage,val,2.0,False,matched_control,4426,1385,basis,changed,0.014806400751694999,0.029612801503389997,0.02239079400897026,0.020571038126945496,0.0018197564408183099,0.08127252834755544,-0.0004273806512355804,0.004124677713029082,0.12893553223388307,0.9999978040616229
3,nominal_modifier_order,C,positive_control_advantage,val,2.0,False,matched_control,4426,12995,basis,changed,0.014806400751694999,0.029612801503389997,0.02239079400897026,0.012272214516997337,0.010118575245141983,0.45190783502756765,0.008068936547264456,0.012333049952052534,0.0009995002498750624,0.9999979761474895
3,nominal_modifier_order,C,positive_control_advantage,test,0.5,False,target,4426,4426,basis,changed,0.014806400751694999,0.007403200375847499,0.11259298026561737,0.11258793622255325,5.047563463449478e-06,4.4830179035511835e-05,-0.0022176571106538178,0.0022585083660669586,0.992503748125937,0.9999986682613107
3,nominal_modifier_order,C,positive_control_advantage,test,0.5,False,matched_control,4426,8685,basis,changed,0.014806400751694999,0.007403200375847499,0.11259298026561737,0.11316104978322983,-0.0005680589377880097,-0.005045242931201443,-0.003066128382459283,0.002008926890790462,0.6146926536731634,0.9999986825069206
3,nominal_modifier_order,C,positive_control_advantage,test,0.5,False,matched_control,4426,1385,basis,changed,0.014806400751694999,0.007403200375847499,0.11259298026561737,0.11338149756193161,-0.0007885061390697956,-0.007003155411728475,-0.0031476765344850715,0.0015959235937334556,0.5037481259370314,0.9999986697512747
3,nominal_modifier_order,C,positive_control_advantage,test,0.5,False,matched_control,4426,12995,basis,changed,0.014806400751694999,0.007403200375847499,0.11259298026561737,0.11015677452087402,0.0024362076073884964,0.02163729569677661,0.000245969133451581,0.004735922459512948,0.025987006496751622,0.9999986653306228
3,nominal_modifier_order,C,positive_control_advantage,test,1.0,True,target,4426,4426,basis,changed,0.014806400751694999,0.014806400751694999,0.11259298026561737,0.11178603768348694,0.0008069534972310066,0.0071669965154783875,-0.001557575878687203,0.0031361939208582016,0.4877561219390305,0.9999985459323721
3,nominal_modifier_order,C,positive_control_advantage,test,1.0,True,matched_control,4426,8685,basis,changed,0.014806400751694999,0.014806400751694999,0.11259298026561737,0.11122637987136841,0.0013666095584630967,0.012137608892127527,-0.0014218887202441693,0.0044627146422863,0.3638180909545227,0.9999984648113276
3,nominal_modifier_order,C,positive_control_advantage,test,1.0,True,matched_control,4426,1385,basis,changed,0.014806400751694999,0.014806400751694999,0.11259298026561737,0.1123955175280571,0.00019746787846088408,0.001753820513455092,-0.0024272421076893804,0.002802649538964031,0.8995502248875562,0.9999984880299633
3,nominal_modifier_order,C,positive_control_advantage,test,1.0,True,matched_control,4426,12995,basis,changed,0.014806400751694999,0.014806400751694999,0.11259298026561737,0.10996775329113007,0.002625235840678215,0.02331615909344471,0.0008491737768054009,0.0044135022684931744,0.0029985007496251873,0.9999985422981124
3,nominal_modifier_order,C,positive_control_advantage,test,2.0,False,target,4426,4426,basis,changed,0.014806400751694999,0.029612801503389997,0.11259298026561737,0.11016259342432022,0.0024303977563977243,0.021585695224197714,-0.00011023247335106132,0.004886633059941231,0.06996501749125437,0.9999981634946609
