variable_id,variable,pooling,rank,feature_id,train_effect,val_effect,test_effect,val_same_direction,test_same_direction,p_unadjusted,p_maxT,train_fwer_significant,holdout_direction_survival,full_survival
7,voice_and_agent_prominence,final,15,15659,-0.5383752584457397,-0.4071871340274811,-0.2233598232269287,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,final,16,8074,-0.5295006036758423,-0.5827828645706177,-0.19916151463985443,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,final,17,6858,0.5257919430732727,0.3951299488544464,-0.057051125913858414,True,False,0.0004997501249375312,0.0004997501249375312,True,False,False
7,voice_and_agent_prominence,final,18,164,-0.5059097409248352,0.33161455392837524,-0.9364444613456726,False,True,0.0004997501249375312,0.0004997501249375312,True,False,False
7,voice_and_agent_prominence,final,19,13191,-0.5036250948905945,-0.7086768746376038,-0.4012543857097626,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,final,20,12289,-0.4766992926597595,-0.5798432230949402,-0.015712663531303406,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,final,21,8003,-0.461467981338501,0.027018744498491287,-0.6832999587059021,False,True,0.0004997501249375312,0.0004997501249375312,True,False,False
7,voice_and_agent_prominence,final,22,9531,-0.4451241195201874,-0.47155043482780457,-0.685985803604126,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,final,23,14465,-0.444758802652359,-0.730577826499939,0.34837642312049866,True,False,0.0004997501249375312,0.0004997501249375312,True,False,False
7,voice_and_agent_prominence,final,24,5219,0.4342612624168396,0.7187307476997375,0.27286040782928467,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,final,25,15059,0.4274462163448334,-0.5469574332237244,0.6497093439102173,False,True,0.0004997501249375312,0.0004997501249375312,True,False,False
8,causativity_and_valency_change,mean,1,164,0.9175019264221191,0.9380320906639099,0.8658102750778198,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
8,causativity_and_valency_change,mean,2,8182,0.8939546346664429,0.9339605569839478,0.7827286124229431,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
