variable_id,variable,target_feature,intervention_side,control_rank,control_feature,matching_distance,target_side_mean_activation,control_side_mean_activation,target_side_fire_rate,control_side_fire_rate,target_decoder_norm,control_decoder_norm
23,aspect_and_event_structure,6216,basis,3,758,0.1377175269370368,0.030069444328546524,0.022150447592139244,0.675000011920929,0.7400000095367432,1.0,1.0
24,modality_and_mood,13197,changed,1,15325,0.10252653086024706,0.026836343109607697,0.008996176533401012,0.5375000238418579,0.5799999833106995,1.0,1.0
24,modality_and_mood,13197,changed,2,6618,0.21701390450589422,0.026836343109607697,0.034063875675201416,0.5375000238418579,0.6424999833106995,1.0,1.0
24,modality_and_mood,13197,changed,3,5205,0.2530955956642595,0.026836343109607697,0.013476984575390816,0.5375000238418579,0.6575000286102295,1.0,1.0
25,epistemic_modality,15221,changed,1,8041,0.011364176339383567,0.0447753444314003,0.03296954184770584,1.0,1.0,1.0,1.0
25,epistemic_modality,15221,changed,2,9728,0.011773008062454765,0.0447753444314003,0.03254731744527817,1.0,1.0,1.0,1.0
25,epistemic_modality,15221,changed,3,7247,0.02523448215746029,0.0447753444314003,0.07147517055273056,1.0,1.0,1.0,1.0
26,evidentiality,6900,changed,1,6618,0.00500290047514497,0.037350382655858994,0.03735339641571045,0.8025000095367432,0.800000011920929,1.0,1.0
26,evidentiality,6900,changed,2,1302,0.08706865564649115,0.037350382655858994,0.06581361591815948,0.8025000095367432,0.8324999809265137,1.0,1.0
26,evidentiality,6900,changed,3,11461,0.19852587304472136,0.037350382655858994,0.03369918838143349,0.8025000095367432,0.8999999761581421,1.0,1.0
27,mirativity_stance_and_affect_marking,1887,changed,1,8041,0.00847540381947285,0.03637173771858215,0.02762518636882305,1.0,1.0,1.0,1.0
27,mirativity_stance_and_affect_marking,1887,changed,2,9728,0.011987690728733534,0.03637173771858215,0.02402220293879509,1.0,1.0,1.0,1.0
27,mirativity_stance_and_affect_marking,1887,changed,3,7247,0.0152475363384827,0.03637173771858215,0.05229493975639343,1.0,1.0,1.0,1.0
